file_id,file_name,read_path,file_size
F0000,20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 1.ome.tiff,/allen/programs/allencell/data/proj0/f27/f9a/50a/f0e/537/5b9/b4c/e4a/187/12d/a5/20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 1.ome.tiff,1157303719
F0001,20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 10.ome.tiff,/allen/programs/allencell/data/proj0/d63/04d/214/f97/407/119/54c/a96/839/78f/98/20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 10.ome.tiff,1163254527
F0002,20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 11.ome.tiff,/allen/programs/allencell/data/proj0/87f/781/b20/e4a/d0c/3e9/84c/f46/2ce/a83/57/20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 11.ome.tiff,1182205122
F0003,20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 12.ome.tiff,/allen/programs/allencell/data/proj0/d40/8eb/234/ab8/59f/49b/241/0c5/727/1e9/9f/20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 12.ome.tiff,1153190131
F0004,20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 13.ome.tiff,/allen/programs/allencell/data/proj0/2bc/dc9/cfe/f31/21c/cf8/e44/4d3/92b/cbb/1d/20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 13.ome.tiff,1177472329
F0005,20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 14.ome.tiff,/allen/programs/allencell/data/proj0/3a6/abc/908/8ce/574/118/a40/1be/eb8/e84/95/20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 14.ome.tiff,1150524718
F0006,20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 15.ome.tiff,/allen/programs/allencell/data/proj0/2c5/004/4fa/0b3/332/149/c46/8a8/d7d/25f/1b/20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 15.ome.tiff,1185621268
F0007,20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 16.ome.tiff,/allen/programs/allencell/data/proj0/9bc/7c2/8c9/d9c/777/4b9/042/2e0/898/133/5f/20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 16.ome.tiff,1162502853
F0008,20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 17.ome.tiff,/allen/programs/allencell/data/proj0/8d7/b8b/c44/1c2/3d5/c09/f49/2fa/c0c/cf8/ca/20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 17.ome.tiff,1164602286
F0009,20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 18.ome.tiff,/allen/programs/allencell/data/proj0/249/608/c5a/c77/fc2/20b/a4d/343/ba6/deb/2d/20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 18.ome.tiff,1155846001
F0010,20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 19.ome.tiff,/allen/programs/allencell/data/proj0/2f2/8b9/d1a/366/a8a/9ea/e4f/e8f/de3/9ba/72/20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 19.ome.tiff,1165785988
F0011,20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 2.ome.tiff,/allen/programs/allencell/data/proj0/e91/bd9/d2f/b58/c17/74a/343/285/bfc/55e/a3/20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 2.ome.tiff,1160827784
F0012,20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 20.ome.tiff,/allen/programs/allencell/data/proj0/cb1/2fb/23a/f06/161/ff8/e4a/d9b/cf1/e3e/07/20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 20.ome.tiff,1171866438
F0013,20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 21.ome.tiff,/allen/programs/allencell/data/proj0/9b3/430/f8f/3ce/67b/849/948/632/8ed/efe/64/20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 21.ome.tiff,1155515265
F0014,20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 22.ome.tiff,/allen/programs/allencell/data/proj0/5aa/99a/bed/f10/131/6a8/b4e/e8f/e35/ea7/72/20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 22.ome.tiff,1175719264
F0015,20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 23.ome.tiff,/allen/programs/allencell/data/proj0/d1b/541/38c/13c/b33/1fb/443/3eb/0df/0e0/47/20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 23.ome.tiff,1168724394
F0016,20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 24.ome.tiff,/allen/programs/allencell/data/proj0/1a7/f67/097/9a0/1fa/e09/147/3e0/604/934/e3/20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 24.ome.tiff,1169276724
F0017,20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 25.ome.tiff,/allen/programs/allencell/data/proj0/3b5/c75/103/d27/92d/14a/b49/2a6/622/1fb/cd/20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 25.ome.tiff,1171260791
