file_id,file_name,read_path,file_size
F1215,5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 10.ome.tiff,/allen/programs/allencell/data/proj0/693/814/916/a52/265/50b/c45/075/e82/6e5/72/5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 10.ome.tiff,646976943
F1216,5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 11.ome.tiff,/allen/programs/allencell/data/proj0/680/f64/5ba/ddc/265/b48/447/87a/48f/e7c/c2/5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 11.ome.tiff,668690243
F1217,5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 12.ome.tiff,/allen/programs/allencell/data/proj0/65e/ba3/260/41a/c9e/a1a/b44/685/92b/c3e/60/5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 12.ome.tiff,653051383
F1218,5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 13.ome.tiff,/allen/programs/allencell/data/proj0/a37/ba9/631/fba/e30/f9a/e47/f0e/165/88a/54/5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 13.ome.tiff,663187167
F1219,5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 15.ome.tiff,/allen/programs/allencell/data/proj0/e40/986/297/044/4a6/4c8/645/137/463/746/ca/5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 15.ome.tiff,671941616
F1220,5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 16.ome.tiff,/allen/programs/allencell/data/proj0/946/7b8/9f4/968/981/299/045/dbc/63c/8f7/5a/5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 16.ome.tiff,679735690
F1221,5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 17.ome.tiff,/allen/programs/allencell/data/proj0/61c/bc4/a36/d9f/400/79b/143/4de/830/3ec/25/5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 17.ome.tiff,662750092
F1222,5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 18.ome.tiff,/allen/programs/allencell/data/proj0/3c7/7f0/31e/342/c81/2bb/549/af6/e72/0c4/dc/5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 18.ome.tiff,662724721
F1223,5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 19.ome.tiff,/allen/programs/allencell/data/proj0/37c/f6a/831/71b/760/829/446/3e9/676/f01/bd/5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 19.ome.tiff,675078820
F1224,5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 20.ome.tiff,/allen/programs/allencell/data/proj0/1e1/5a5/d63/6c3/0df/2f9/d4c/a28/dab/5dd/0e/5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 20.ome.tiff,670664981
F1225,5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 21.ome.tiff,/allen/programs/allencell/data/proj0/a09/2f7/4a7/c35/d50/629/e45/f16/8e2/5f2/63/5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 21.ome.tiff,674042566
F1226,5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 22.ome.tiff,/allen/programs/allencell/data/proj0/509/d13/007/210/4f0/c18/346/fcc/851/5d0/d7/5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 22.ome.tiff,660974987
F1227,5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 23.ome.tiff,/allen/programs/allencell/data/proj0/c90/e4f/156/9ef/3b3/0cb/74f/ecd/759/358/fc/5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 23.ome.tiff,662408098
F1228,5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 26.ome.tiff,/allen/programs/allencell/data/proj0/71f/753/157/94e/4ac/0ba/c45/739/1fa/e7d/99/5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 26.ome.tiff,681714491
F1229,5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 27.ome.tiff,/allen/programs/allencell/data/proj0/14c/0e3/527/9b1/3ed/7e8/245/834/b56/736/87/5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 27.ome.tiff,677832718
F1230,5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 2.ome.tiff,/allen/programs/allencell/data/proj0/599/97f/71e/64c/f5d/668/142/5c2/03b/146/19/5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 2.ome.tiff,629288611
F1231,5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 30.ome.tiff,/allen/programs/allencell/data/proj0/632/cf4/aba/d46/d0f/5f9/54a/1b4/9a8/7dd/a1/5500000094_63x_20190524_Capture 1 - Capture 1 - C2 [144] Montage - 30.ome.tiff,662544461
